BHID,XCOLLAR,YCOLLAR,ZCOLLAR,LENGTH,BRG,DIP,COMMENTS,STATUT,Statuts
CT54_26,241918.9853,1378926.613,65,84,115,60,,Undrilled,Undrilled
CT54_27,241930.5593,1378921.145,65,81,115,60,,Undrilled,Undrilled
CT55_03,241890.2018,1378926.388,35,88,115,60,,Undrilled,Undrilled
CT55_04,241896.1479,1378923.579,50,95,115,60,,Undrilled,Undrilled
CT55_05,241908.1121,1378917.926,51,87,115,60,,Undrilled,Undrilled
CT55_06,241913.6139,1378915.326,60,88,115,60,,Undrilled,Undrilled
CT55_07,241925.1453,1378909.878,60,81,115,60,,Undrilled,Undrilled
CT55_08,241935.226,1378905.115,61,73,115,60,,Undrilled,Undrilled
CT55_09,241939.8996,1378902.907,75,73,115,60,,Undrilled,Undrilled
CT55_10,241945.6974,1378900.168,85,83,115,60,,Undrilled,Undrilled
CT55_22,242090.3236,1378831.835,120,40,115,60,,Undrilled,Undrilled
CT55_26,242129.1573,1378813.487,125,52,115,60,,Undrilled,Undrilled
CT57_01,241896.3409,1378909.662,50,100,115,60,,Undrilled,Undrilled
CT57_02,241908.2205,1378904.05,79,109,115,60,,Undrilled,Undrilled
CT57_04,241922.4475,1378897.328,80,95,115,60,,Undrilled,Undrilled
CT57_05,241942.4132,1378887.894,95,90,115,60,,Undrilled,Undrilled
CT57_06,241955.0264,1378881.935,95,81,115,60,,Undrilled,Undrilled
CT57_10,242086.9341,1378819.611,121,37,115,60,,Undrilled,Undrilled
CT57_11,242107.649,1378809.824,125,20,115,60,,Undrilled,Undrilled
CT57_13,242121.7333,1378803.169,140,64,115,60,,Undrilled,Undrilled
CT58_04,241920.3894,1378884.475,80,90,115,60,,Undrilled,Undrilled
CT58_05,241931.8429,1378879.064,80,79,115,60,,Undrilled,Undrilled
CT58_06,241942.9202,1378873.83,80,70,115,60,,Undrilled,Undrilled
CT58_15,242076.1482,1378810.882,125,45,115,60,,Undrilled,Undrilled
CT58_16,242088.4867,1378805.053,125,33,115,60,,Undrilled,Undrilled
CT58_17,242099.0317,1378800.07,125,23,115,60,,Undrilled,Undrilled
CT58_18,242104.6834,1378797.4,135,26,115,60,,Undrilled,Undrilled
CT58_19,242116.1266,1378791.994,135,62,115,60,,Undrilled,Undrilled
CT59_02,241934.8741,1378863.806,100,89,115,60,,Undrilled,Undrilled
CT59_03,241946.4772,1378858.324,100,80,115,60,,Undrilled,Undrilled
CT59_04,241949.6275,1378856.836,116,88,115,60,,Undrilled,Undrilled
CT59_05,241961.4876,1378851.232,116,78,115,60,,Undrilled,Undrilled
CT59_06,241986.596,1378839.369,90,39,115,60,,Undrilled,Undrilled
CT59_10,242089.3385,1378790.825,135,35,115,60,,Undrilled,Undrilled
CT60_09,242090.9915,1378776.219,145,34,115,60,,Undrilled,Undrilled
CT62_11,241927.2301,1378839.768,118,56,115,60,,Undrilled,Undrilled
CT63_15,241943.2152,1378818.39,125,34,115,60,,Undrilled,Undrilled
CT63_16,241931.8442,1378823.763,124,46,115,60,,Undrilled,Undrilled
CT64_01,241962.9821,1378795.226,130,18,115,60,,Undrilled,Undrilled
CT64_13,241950.8847,1378800.942,131,31,115,60,,Undrilled,Undrilled
CT65_01,241960.1475,1378782.74,137,25,115,60,,Undrilled,Undrilled
CT70_01,241832.1554,1379398.654,80,90,115,60,,Undrilled,Undrilled
CT70_02,241843.9003,1379393.104,80,90,115,60,,Undrilled,Undrilled
CT70_03,241855.0827,1379387.821,80,90,115,60,,Undrilled,Undrilled
CT70_04,241863.6529,1379383.772,85,90,115,60,,Undrilled,Undrilled
CT70_20,241827.2647,1379400.964,65,86,115,60,,Undrilled,Undrilled
CT70_21,241813.6719,1379407.387,65,97,115,60,,Undrilled,Undrilled
CT70_24,242247.1611,1379187.927,160,52,115,60,,Undrilled,Undrilled
CT70_25,241885.4425,1379358.831,60,80,115,60,,Undrilled,Undrilled
CT70_26,241902.7971,1379350.631,50,73,115,60,,Undrilled,Undrilled
CT71_15,241999.0504,1379361.275,105,50,115,60,,Undrilled,Undrilled
CT71_16,241823.7903,1379444.082,84,92,115,60,,Undrilled,Undrilled
CT8_05,241842.9703,1379628.419,140,90,115,60,,Undrilled,Undrilled
CT9_07,241857.479,1379608.003,130,68,115,60,,Undrilled,Undrilled
CT9_08,241847.9032,1379612.125,130,80,115,60,,Undrilled,Undrilled
CT9_09,241808.1966,1379629.217,140,46,115,60,,Undrilled,Undrilled
CT9_10,241795.2993,1379634.769,140,56,115,60,,Undrilled,Undrilled
GC_mkc_ph2_8,241867.6554,1379645.883,141,49,115,60,,Undrilled,Undrilled
